floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,flat_id
10,18,1,32.0,13590000,Останкинский,Березовая аллея,19к1,Ботанический сад,315747133
71,79,1,79.0,75000000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,315253252
11,12,1,32.0,12000000,Преображенское,Открытое шоссе,6К13,Бульвар Рокоссовского,315707948
6,41,1,40.1,35500000,Хорошевский,Ленинградский проспект,37/5,Аэропорт,313640113
14,16,1,40.0,12700000,Марьино,Новомарьинская ,16К1,Братиславская,314672030
23,23,1,35.9,18450000,Лефортово,Красноказарменная ,14Ак2,Авиамоторная,314699560
2,9,1,32.9,9400000,Ясенево, Инессы Арманд,4К1,Новоясеневская,315233659
8,13,1,54.8,40948000,Южнопортовый,Сосинская ,8,Волгоградский проспект,316709399
6,12,1,34.5,11900000,Южное Бутово,Скобелевская ,1к1,Улица Скобелевская,316697255
8,15,1,35.0,11900000,Коньково,Профсоюзная ,69,Беляево,314794936
7,9,1,32.1,9600000,Левобережный,Смольная ,39,Беломорская,316283525
2,8,1,57.7,75000000,Таганский,Тессинский переулок,1,Чкаловская,316324230
24,79,1,72.0,70000000,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,315253214
8,12,1,35.0,8500000,Гольяново,Черницынский проезд,12,Щёлковская,316595702
5,12,1,36.0,16000000,Басманный,Волховский переулок,2,Бауманская,314969166
1,5,1,51.7,13500000,Кунцево, Екатерины Будановой,12,Кунцевская,315307091
11,12,1,61.3,42900000,Тверской,2-я Брестская ,6,Маяковская,315263849
2,12,1,35.0,11990000,Алексеевский,Ракетный бульвар,11К1,ВДНХ,316566902
1,10,1,44.7,12459200,Кунцево,5-я Мякининская ,20,Строгино,316645310
3,10,1,58.0,15462500,Кунцево,4-я Мякининская ,27,Строгино,313005124
8,10,1,54.1,14621700,Кунцево,5-я Мякининская ,20,Строгино,316645335
8,10,1,60.5,16018100,Кунцево,4-я Мякининская ,27,Строгино,313005073
2,10,1,60.5,16013800,Кунцево,4-я Мякининская ,27,Строгино,313004944
3,9,1,33.9,12000000,Беговой, Новая Башиловка,8,Динамо,316380582
7,15,1,37.9,8799000,Южное Бутово,Изюмская ,49к3,Бутово,316593726
1,5,1,31.4,9200000,Измайлово,Измайловский проезд,6К2,Измайловская,316064725
13,41,1,43.1,21200000,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,316110068
2,40,1,40.2,32500000,Хорошевский,Ленинградский проспект,37/4,ЦСКА,309525051
17,20,1,46.9,23190000,Даниловский,проспект Лихачева,18к2,Технопарк,314971371
2,9,1,33.4,8900000,Печатники, Гурьянова,23,Печатники,312666649
13,21,1,70.0,35700000,Филевский парк,Береговой проезд,5к2,Фили,316672928
12,15,1,35.6,13500000,Коньково,Профсоюзная ,69,Калужская,315680154
14,22,1,41.1,14500000,Нижегородский,Газгольдерная ,10,Нижегородская,314286109
30,79,1,78.0,92880000,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,315253213
7,9,1,36.9,8800000,Люблино, Верхние Поля,27С2,Братиславская,294926973
11,17,1,38.1,11900000,Западное Дегунино,Ангарская ,22К5,Грачёвская,315394969
5,12,1,34.1,19000000,Обручевский, Академика Челомея,1А,Воронцовская,311419733
16,36,1,41.1,33000000,Хорошевский,Ленинградский проспект,37/4,ЦСКА,306867070
4,8,1,34.0,25700000,Гагаринский,Ленинский проспект,38Ак1,Ленинский проспект,312754921
2,9,1,32.8,8500000,Северное Измайлово,16-я Парковая ,55К2,Щёлковская,312035112
8,14,1,31.5,10700000,Марьина роща,Старомарьинское шоссе,22,Марьина Роща,316422662
5,19,1,39.0,10990000,Бирюлево Восточное,6-я Радиальная ,7/1к1,Царицыно,314170584
9,31,1,45.3,23900000,Филевский парк,Береговой проезд,5к1,Фили,304779000
2,20,1,45.0,18950000,Марьина роща,Анненская ,6,Марьина Роща,316346770
1,5,1,34.0,9990000,Южное Тушино,Нелидовская ,20К2,Сходненская,314539287
10,15,1,43.3,27200000,Раменки,Винницкая ,8к4,Раменки,314369704
8,12,1,29.7,10900000,Северное Тушино, Фомичевой,8К2,Планерная,316244683
2,12,1,41.0,11500000,Соколиная гора,Вольная ,4,Семёновская,307275502
4,4,1,42.1,18500000,Басманный, Казакова,7,Курская,315253236
9,23,1,31.9,17490000,Хорошево-Мневники,Шелепихинская набережная,40к2,Шелепиха,308550093
3,9,1,32.5,13100000,Восточное Дегунино, 800-летия Москвы,5К1,Яхромская,316503134
6,9,1,32.0,16700000,Проспект Вернадского, Удальцова,3К11,Проспект Вернадского,315345114
1,9,1,32.8,8560000,Отрадное, Декабристов,35А,Отрадное,315518371
1,12,1,30.7,8500000,Люблино,Белореченская ,15,Люблино,307538846
9,24,1,39.5,12800000,Кузьминки,Волгоградский проспект,86К1,Кузьминки,316296379
1,29,1,24.0,12800000,Очаково-Матвеевское,Аминьевское шоссе,4Дк3литБ,Аминьевская,311846636
9,12,1,36.0,9500000,Южное Бутово,Изюмская ,46К2,Улица Скобелевская,311059902
